Kode I-O,Nama Sektor,Kode sektor KSM,Klasifikasi Sektor Makro (KSM),KSM (17 Sektor),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Households,Government,Investment,Exports,Imports,700,309
34,Other economic sectors with unclear boundaries,coesub,Unclassified Economic Activities,Other Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Factors - Labor - Low (not finished primary schooling),flab-n,,,0.2237,0.012,105.6684,37.8289,0.0949,4.4462,0.3298,0.4318,0.6872,43.1934,8.9832,12.8349,0.2798,0.9803,0.2022,0.0695,0.0039,0.0062,0.0229,0.0017,0.0235,1.2096,0.2387,16.8551,26.9591,2.1386,10.2544,4.6136,35.3372,5.3069,3.5426,1.7735,1.8479,0,,,,,,,
36,"Factors - Labor - Medium (finished primary, but not finished secondary schooling)",flab-p,,,0.0583,0.0031,27.5227,9.853,0.0247,1.1581,0.0859,0.0211,0.0336,2.1145,0.6592,0.9418,0.1908,0.5123,0.1057,0.0301,0.0007,0.0012,0.0044,0.0003,0.017,1.1132,0.1012,5.8581,14.4363,1.3693,1.1237,0.5243,4.9609,5.2713,3.5327,1.7686,0.6583,0,,,,,,,
37,Factors - Labor - High (finished secondary and/or tertiary schooling),flab-s,,,0.1388,0.0075,65.5449,23.4648,0.0589,2.7579,0.2046,0.0091,0.0144,0.9062,1.5014,2.1451,6.6648,3.4,0.7015,0.8281,0.051,0.0811,0.2997,0.0224,0.143,2.0342,0.6857,50.5396,84.7677,10.8535,8.7908,4.2746,48.8623,108.367,47.3574,23.7088,6.517,0,,,,,,,
38,Factors - Agricultural land,flnd,,,0.2021,0.0115,100.8441,83.9659,0.0833,10.4298,0.7515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
39,Factors - Capital,fcap,,,0.1554,0.0085,79.624,46.6884,0.0637,4.5079,0.3961,0.6672,1.0873,68.9648,22.2213,24.4824,22.6501,15.9201,2.4846,1.9863,0.1745,0.1237,0.6861,0.0351,0.3296,13.6869,4.8,94.3545,223.9028,37.6364,37.2883,132.8366,150.7822,17.6716,12.4298,24.9819,6.8232,0,,,,,,,
40,Taxes - Direct (personal or corporate),dtax,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
41,Taxes - Factors,ftax,,,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
42,Taxes ,mtax,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
43,Total Input,Total_Input,,,0.8444,0.0698,424.6877,201.8008,0.4439,45.5081,2.6842,2.18,3.2904,161.2355,120.8667,70.2993,39.5386,200.3988,35.5264,29.0637,9.1643,2.2134,17.853,7.9859,10.6828,43.6121,15.7462,420.9433,380.3021,110.288,107.344,195.4979,444.6965,317.7184,81.1479,130.7198,34.7741,0,,,,,,,
44,Import (transpose),import,,,0.170046,0.000279,1.653363,0.142136,0.001084,0.045415,0.010742,0.008287,0.006143,0.010031,0.135151,0.159932,0.050004,0.083854,0.014327,0.083547,2.22111,0.00651,0.043006,7.67171,0.796583,0.146465,0.040383,0.010505,0.375301,0.395469,0.426253,0.10484,1.551792,0.134463,0.025177,0.024693,0.0849,0,,,,,,,
45,Kompensasi Upah TK,upah,,,0.4208,0.0226,198.736,71.1467,0.1785,8.3622,0.6203,0.462,0.7352,46.2141,11.1438,15.9218,7.1354,4.8926,1.0094,0.9277,0.0556,0.0885,0.327,0.0244,0.1835,4.357,1.0256,73.2528,126.1631,14.3614,20.1689,9.4125,89.1604,118.9452,54.4327,27.2509,9.0232,0,,,,,,,
46,Surplus usaha bruto,surplus,,,0.3575,0.02,180.4681,130.6543,0.147,14.9377,1.1476,0.6672,1.0873,68.9648,22.2213,24.4824,22.6501,15.9201,2.4846,1.9863,0.1745,0.1237,0.6861,0.0351,0.3296,13.6869,4.8,94.3545,223.9028,37.6364,37.2883,132.8366,150.7822,17.6716,12.4298,24.9819,6.8232,0,,,,,,,
209,Total Input Primer,tip,,,0.7783,0.0426,379.2041,201.801,0.3255,23.2999,1.7679,1.1292,1.8225,115.1789,33.3651,40.4042,29.7855,20.8127,3.494,2.914,0.2301,0.2122,1.0131,0.0595,0.5131,18.0439,5.8256,167.6073,350.0659,51.9978,57.4572,142.2491,239.9426,136.6168,66.8625,52.2328,15.8464,0,,,,,,,
