Kode I-O,Nama Sektor,Kode sektor KSM,Klasifikasi Sektor Makro (KSM),KSM (17 Sektor),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,Households,Government,Investment,Exports,Imports,700,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Non-metal minerals,cnmet,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3.17 , -   , 0.05 , 0.02 , (0.65), 2.58 , 2.58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Metals and metal products,cmetl,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.39 , -   , -   , 8.85 , (1.87), 8.38 , 8.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Machinery, equipment and vehicles",cmach,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 181.01 , -   , 0.10 , 0.55 , (42.03), 139.62 , 139.62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Other manufacturing,coman,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10.10 , -   , 1.82 , 0.55 , (1.04), 11.44 , 11.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Electricity, gas and steam",celec,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.20 , -   , -   , -   , -   , -   , -   , -   , 12.62 , 0.03 , 0.52 , -   , 0.09 , 0.02 , -   , 0.24 , -   , -   , 5.13 , 0.23 , 0.09 , -   , -   , 13.34 , -   , -   , 1.22 , -   , 33.72 , 14.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Water supply and sewage,cwatr,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.32 , -   , -   , -   , 0.06 , -   , 0.02 , -   , -   , 0.31 , 0.02 , 0.05 , -   , -   , 6.22 , 0.31 , -   , 0.11 , -   , 8.42 , 6.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Construction,ccons,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.02 , -   , -   , -   , 0.42 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.02 , 0.11 , 2.46 , -   , -   , 0.11 , 0.01 , 0.08 , 1.42 , -   , 0.57 , 0.14 , 0.01 , -   , -   , 18.12 , -   , 153.98 , 3.32 , -   , 180.79 , 175.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Wholesale and retail trade,ctrad,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.62 , 10.95 , -   , 18.50 , 0.07 , 3.46 , -   , 2.26 , 1.32 , 2.88 , 1.25 , 0.12 , 1.42 , 4.02 , 3.33 , 1.58 , 1.15 , 24.97 , -   , 9.77 , 6.59 , 2.82 , 0.61 , 0.72 , 0.64 , 5.63 , 1.81 , 2.65 , -   , -   , -   , 0.12 , 1.27 , 7.08 , -   , 119.64 , 8.47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Transportation and storage,ctran,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.70 , 0.00 , 1.32 , -   , 0.17 , 0.11 , 0.16 , 0.13 , 0.00 , 0.06 , 0.22 , 0.16 , 0.12 , 0.48 , 49.10 , -   , 12.58 , 0.25 , 0.21 , 0.97 , 4.15 , 20.75 , 10.50 , 0.82 , 0.79 , -   , -   , 23.42 , -   , -   , 8.09 , -   , 135.28 , 31.52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Accommodation and food services,chotl,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , -   , -   , -   , 0.06 , -   , -   , -   , -   , -   , 0.00 , -   , 0.01 , 0.02 , 0.04 , -   , 1.44 , 0.02 , 0.01 , 0.04 , -   , 0.03 , 0.89 , 0.21 , 0.17 , -   , -   , 35.98 , 22.20 , 0.05 , 0.52 , -   , 61.70 , 58.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Information and communication,ccomm,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , 1.66 , -   , 4.00 , -   , 0.09 , -   , -   , -   , -   , -   , 0.55 , 0.28 , 0.21 , -   , 0.24 , -   , 99.41 , 4.60 , -   , 0.47 , 11.48 , 1.06 , 0.49 , -   , -   , 4.15 , 0.72 , 0.67 , 7.93 , -   , 138.02 , 13.47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Finance and insurance,cfsrv,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.35 , 0.33 , -   , 0.06 , 0.01 , 2.05 , -   , 0.43 , -   , -   , -   , -   , -   , -   , -   , 2.72 , 0.24 , -   , -   , 0.06 , 0.07 , 0.02 , 4.36 , -   , 4.12 , 6.67 , 0.51 , 1.77 , -   , -   , 3.02 , 34.63 , -   , 21.63 , -   , 83.05 , 59.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Real estate activities,creal,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.05 , -   , -   , 0.28 , 0.34 , -   , 1.35 , 1.02 , -   , 12.15 , 2.16 , 0.34 , -   , -   , 64.30 , -   , -   , 1.13 , -   , 83.11 , 65.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Business services,cbsrv,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.16 , -   , -   , 0.00 , 0.21 , -   , 0.21 , -   , -   , -   , -   , -   , -   , -   , 2.05 , 0.21 , 1.28 , -   , 39.10 , -   , 0.07 , 5.53 , -   , 6.13 , 26.14 , 2.07 , 1.49 , -   , -   , -   , 134.23 , 1.01 , 18.64 , -   , 238.55 , 153.88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Public administration,cpadm,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.25 , -   , 0.10 , 0.01 , 0.05 , 0.09 , -   , 0.24 , 0.82 , 4.80 , -   , 10.88 , 0.05 , 1.82 , 0.24 , 2.67 , 4.47 , 0.93 , 0.14 , 0.49 , -   , -   , 0.98 , 154.61 , 0.02 , 5.46 , -   , 189.12 , 161.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Education,ceduc,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.05 , -   , -   , 0.41 , -   , -   , 0.69 , 0.46 , 0.17 , -   , -   , 8.81 , 59.04 , -   , 0.11 , -   , 69.74 , 67.96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Health and social work,cheal,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , 0.03 , -   , -   , -   , -   , -   , -   , -   , 0.10 , -   , -   , 0.06 , -   , -   , 0.09 , 0.04 , 0.02 , 0.26 , -   , -   , 0.21 , 0.14 , 0.88 , -   , -   , 1.13 , 47.83 , -   , 0.12 , -   , 50.90 , 49.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Other services,cosrv,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.06 , 0.02 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.50 , 0.13 , -   , 12.36 , 0.66 , 1.21 , 0.16 , -   , -   , 1.59 , 0.19 , 0.17 , -   , -   , 15.26 , 2.04 , 0.86 , 1.16 , -   , 36.36 , 19.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Other economic sectors with unclear boundaries,coesub,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Factors - Labor - Low (not finished primary schooling),flab-n,,,0.792,0.024,2.40%,0,91.5,23.184,9.264,0.065,7.992,3.21,0.76,0.648,1.512,3.312,3.645,4.795,0.727,1.152,0.048,0.015,0.144,0.009,0.005,0.008,0.016,0.096,0.48,0.072,5.376,10.584,2.64,1.128,0.936,1.776,0.72,5.928,3,1.536,0.672, 1.03 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Factors - Labor - Medium (finished primary, but not finished secondary schooling)",flab-p,,, 0.58 , 0.02 , 0.02 , 0.26 , 66.00 , 16.75 , 6.67 , 0.05 , 5.76 , 2.31 , 0.56 , 0.48 , 1.10 , 2.40 , 2.61 , 1.54 , 0.52 , 1.18 , 0.05 , 0.02 , 0.14 , 0.01 , 0.01 , 0.01 , 0.02 , 0.07 , 0.46 , 0.07 , 5.09 , 13.58 , 3.02 , 0.48 , 0.41 , 0.77 , 0.31 , 2.54 , 3.67 , 1.87 , 0.84 , 0.94 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Factors - Labor - High (finished secondary and/or tertiary schooling),flab-s,,, 0.65 , 0.02 , 0.02 , 0.29 , 75.15 , 19.06 , 7.61 , 0.05 , 6.55 , 2.64 , 0.60 , 0.53 , 1.25 , 2.71 , 2.97 , 2.07 , 5.12 , 8.04 , 0.31 , 0.08 , 0.72 , 0.05 , 0.03 , 0.04 , 0.08 , 0.43 , 2.42 , 0.31 , 26.88 , 28.87 , 11.45 , 9.14 , 7.54 , 14.33 , 5.76 , 47.93 , 76.63 , 39.19 , 17.45 , 5.40 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Factors - Agricultural land,flnd,,, 0.53 , 0.02 , 0.02 , 0.24 , 66.60 , 15.96 , 6.58 , 0.05 , 32.54 , 16.26 , 2.60 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Factors - Capital,fcap,,, 0.26 , -   , -   , 0.12 , 33.90 , 8.02 , 3.29 , 0.03 , 5.76 , 2.70 , 0.72 , 2.57 , 6.96 , 14.04 , 30.83 , 33.71 , 17.51 , 35.47 , 0.46 , 0.18 , 1.78 , 0.09 , 0.06 , 0.06 , 0.16 , 0.77 , 10.44 , 2.33 , 56.45 , 133.15 , 31.20 , 23.21 , 23.16 , 47.26 , 66.12 , 145.39 , 10.42 , 9.29 , 19.68 , 5.57 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Taxes - Direct (personal or corporate),dtax,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
