2019 Social Accounting Matrix for Papua New Guinea,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,ctoba,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,dtax,etax,ftax,mtax,stax,s-i,dstk,row,total
Households - Urban (quintile 2),hhd-u2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,79,293,,,59,,,,,,,,,,,,,,,,,,,0,595
Households - Urban (quintile 3),hhd-u3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,161,520,,,230,,,,,,,,,,,,,,,,,,,0,"1,390"
Households - Urban (quintile 4),hhd-u4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,328,"2,511",,,"2,136",,,,,,,,,,,,,,,,,,,0,"5,728"
Households - Urban (quintile 5),hhd-u5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,737,"10,051",,,"8,978",,,,,,,,,,,,,,,,,,,1,"20,249"
Government,gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529,2,8,22,53,135,0,2,9,25,201,,"6,070",308,2,396,"3,049",,,"2,090","12,902"
Taxes - Direct (personal or corporate),dtax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,859",8,30,53,264,754,3,11,48,378,"1,662",,,,,,,,,,"6,070"
Taxes - Exports (products),etax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,207,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308
Taxes - Factors,ftax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
Taxes - Imports (products),mtax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,,0,0,0,0,0,0,,0,0,0,0,28,169,4,21,7,23,6,43,80,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396
"Taxes - Sales, excise and/or value-added (products)",stax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,453,55,28,14,80,3,2,149,22,27,6,222,428,344,99,356,11,13,38,216,79,76,20,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,049"
Savings-investment,s-i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,611",10,49,117,839,"2,553",8,58,183,"1,652","8,211","-8,348",,,,,,,,"-8,169","6,775"
Change in stocks,dstk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,402
Rest of world,row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,38,1,9,,26,1,14,51,5,12,,10,12,0,1,"2,963","6,788",482,571,160,"2,725",109,"4,076","6,665",364,,,"1,678",,"4,198",607,,214,,900,121,,,0,,,,161,,"3,486",333,2,14,27,84,219,0,3,12,42,352,440,,,,,,,,,"37,996"
Total,total,129,8,5,64,"2,562","3,949","1,589",51,"2,780","1,009",364,242,738,"1,174","3,009","2,449","38,565","4,165",96,155,324,157,61,186,497,155,"1,322",324,"6,739","10,678","8,823","2,359","5,395","3,408","3,450","9,733","7,642","2,830","2,046","1,495",63,25,44,18,"1,659",697,607,53,15,"1,357","1,057",287,311,979,391,"3,338","1,530","46,360","14,090",849,857,546,"3,224",185,"4,500","7,861",631,"1,404",350,"8,893","11,105","13,365","3,065","5,751","3,634","3,462","10,670","7,979","2,909","2,122","1,516","10,441","5,229","4,080","20,207","3,389","47,524","42,357","1,348","3,127","4,141","8,313","20,387",189,595,"1,390","5,728","20,249","12,902","6,070",308,2,396,"3,049","6,775",402,"37,996","565,076"
